match_date,player_name,player_id,player_role,match_name,match_id,batting_points,sr_points,bowling_points,economy_points,fielding_points,lineup_bonus,total_points
2026-03-28,Abhinandan Singh,849877f5-7704-4cad-b1ba-9e0b33aed35e,Bowler,"Royal Challengers Bengaluru vs Sunrisers Hyderabad, 1st Match, Indian Premier League 2026",55fe0f15-6eb0-4ad5-835b-5564be4f6a21,0,0,30,-6,8,4,36
2026-03-28,Abhishek Sharma,83fe6ab6-d63c-420e-9416-a93d59a9a964,Batting Allrounder,"Royal Challengers Bengaluru vs Sunrisers Hyderabad, 1st Match, Indian Premier League 2026",55fe0f15-6eb0-4ad5-835b-5564be4f6a21,13,0,0,0,0,4,17
2026-03-28,Aniket Verma,196f622e-e1ae-4962-95b5-81324e26c5fe,Batsman,"Royal Challengers Bengaluru vs Sunrisers Hyderabad, 1st Match, Indian Premier League 2026",55fe0f15-6eb0-4ad5-835b-5564be4f6a21,83,6,0,0,0,4,93
2026-03-28,Bhuvneshwar Kumar,3f3ecf51-8411-4046-9477-18c0fe3da6ac,Bowler,"Royal Challengers Bengaluru vs Sunrisers Hyderabad, 1st Match, Indian Premier League 2026",55fe0f15-6eb0-4ad5-835b-5564be4f6a21,0,0,30,0,0,4,34
2026-03-28,David Payne,7cb23ef6-2cd5-4aeb-9047-a5054d220f98,Bowler,"Royal Challengers Bengaluru vs Sunrisers Hyderabad, 1st Match, Indian Premier League 2026",55fe0f15-6eb0-4ad5-835b-5564be4f6a21,6,0,60,-4,0,4,66
2026-03-28,Devdutt Padikkal,74c6584a-45a5-4781-a5e7-c0c9340da954,Batsman,"Royal Challengers Bengaluru vs Sunrisers Hyderabad, 1st Match, Indian Premier League 2026",55fe0f15-6eb0-4ad5-835b-5564be4f6a21,121,6,0,0,28,4,159
2026-03-28,Eshan Malinga,7aa19b4a-48ef-4d17-bef7-1e71f7829cb5,Bowler,"Royal Challengers Bengaluru vs Sunrisers Hyderabad, 1st Match, Indian Premier League 2026",55fe0f15-6eb0-4ad5-835b-5564be4f6a21,0,0,0,-6,0,4,-2
2026-03-28,Harsh Dubey,cc7c9a0b-b6ac-4109-84c8-dd9b1704308f,Bowling Allrounder,"Royal Challengers Bengaluru vs Sunrisers Hyderabad, 1st Match, Indian Premier League 2026",55fe0f15-6eb0-4ad5-835b-5564be4f6a21,3,0,30,-4,8,4,41
2026-03-28,Harshal Patel,15bccb4f-8c3c-4da6-acd9-551782278bfd,Bowler,"Royal Challengers Bengaluru vs Sunrisers Hyderabad, 1st Match, Indian Premier League 2026",55fe0f15-6eb0-4ad5-835b-5564be4f6a21,0,0,0,-6,0,4,-2
2026-03-28,Heinrich Klaasen,7d662361-8f12-4a52-9a4b-01e8734bd31d,WK-Batsman,"Royal Challengers Bengaluru vs Sunrisers Hyderabad, 1st Match, Indian Premier League 2026",55fe0f15-6eb0-4ad5-835b-5564be4f6a21,49,2,0,0,16,4,71
2026-03-28,Ishan Kishan,9ae68636-48d9-488f-8adc-e62a19815d85,WK-Batsman,"Royal Challengers Bengaluru vs Sunrisers Hyderabad, 1st Match, Indian Premier League 2026",55fe0f15-6eb0-4ad5-835b-5564be4f6a21,154,6,0,0,0,4,164
2026-03-28,Jacob Duffy,6e05cbea-6a4b-42ef-8e2e-b44e4b434c2f,Bowler,"Royal Challengers Bengaluru vs Sunrisers Hyderabad, 1st Match, Indian Premier League 2026",55fe0f15-6eb0-4ad5-835b-5564be4f6a21,0,0,94,4,0,4,102
2026-03-28,Jaydev Unadkat,f589d2a9-4e44-464d-9741-e224354a1370,Bowler,"Royal Challengers Bengaluru vs Sunrisers Hyderabad, 1st Match, Indian Premier League 2026",55fe0f15-6eb0-4ad5-835b-5564be4f6a21,4,0,30,0,8,4,46
2026-03-28,Jitesh Sharma,e28de73b-f5df-49eb-bdf6-c50471319404,WK-Batsman,"Royal Challengers Bengaluru vs Sunrisers Hyderabad, 1st Match, Indian Premier League 2026",55fe0f15-6eb0-4ad5-835b-5564be4f6a21,0,0,0,0,8,4,12
2026-03-28,Krunal Pandya,81c09c1b-1b1d-4e87-9eaa-d7d0a89a6159,Batting Allrounder,"Royal Challengers Bengaluru vs Sunrisers Hyderabad, 1st Match, Indian Premier League 2026",55fe0f15-6eb0-4ad5-835b-5564be4f6a21,0,0,0,-6,0,4,-2
2026-03-28,Nitish Kumar Reddy,5bf98798-b2b0-47d2-b799-5307c0fd4936,Batting Allrounder,"Royal Challengers Bengaluru vs Sunrisers Hyderabad, 1st Match, Indian Premier League 2026",55fe0f15-6eb0-4ad5-835b-5564be4f6a21,1,0,0,0,0,4,5
2026-03-28,Philip Salt,6db25d60-ff96-4d8d-8d22-dedeeb5ffa29,WK-Batsman,"Royal Challengers Bengaluru vs Sunrisers Hyderabad, 1st Match, Indian Premier League 2026",55fe0f15-6eb0-4ad5-835b-5564be4f6a21,16,0,0,0,0,4,20
2026-03-28,Rajat Patidar,88215ee9-ca67-48af-a3f0-6b38718bd830,Batsman,"Royal Challengers Bengaluru vs Sunrisers Hyderabad, 1st Match, Indian Premier League 2026",55fe0f15-6eb0-4ad5-835b-5564be4f6a21,61,6,0,0,0,4,71
2026-03-28,Romario Shepherd,7fd4fa20-bc49-4337-ae8a-540b67cb011d,Bowling Allrounder,"Royal Challengers Bengaluru vs Sunrisers Hyderabad, 1st Match, Indian Premier League 2026",55fe0f15-6eb0-4ad5-835b-5564be4f6a21,0,0,94,-6,0,4,92
2026-03-28,Salil Arora,80c06194-6b4e-44a3-978f-ddacb33a95bb,WK-Batsman,"Royal Challengers Bengaluru vs Sunrisers Hyderabad, 1st Match, Indian Premier League 2026",55fe0f15-6eb0-4ad5-835b-5564be4f6a21,15,0,0,0,0,4,19
2026-03-28,Suyash Sharma,2bf2258f-f35e-4831-884e-f88ef46968f5,Bowler,"Royal Challengers Bengaluru vs Sunrisers Hyderabad, 1st Match, Indian Premier League 2026",55fe0f15-6eb0-4ad5-835b-5564be4f6a21,0,0,30,0,0,4,34
2026-03-28,Tim David,69718248-2a3a-45d4-9a2a-6f4dfc6942a5,Batsman,"Royal Challengers Bengaluru vs Sunrisers Hyderabad, 1st Match, Indian Premier League 2026",55fe0f15-6eb0-4ad5-835b-5564be4f6a21,26,4,0,0,0,4,34
